x_,y_,t_,dt,id,sim
404.3160049999838,7391.813358907067,2022-03-24T12:53:00Z,1H 0M 0S,5605,1
404.07530818929456,7391.481280940442,2022-03-24T13:53:00Z,1H 0M 0S,5605,1
404.17645698738187,7389.710624115844,2022-03-24T14:53:00Z,1H 0M 0S,5605,1
404.250724292487,7389.823740457978,2022-03-24T15:53:00Z,1H 0M 0S,5605,1
404.2177153968719,7390.621369432613,2022-03-24T16:53:00Z,1H 0M 0S,5605,1
403.4187116761786,7391.268650741799,2022-03-24T17:53:00Z,1H 0M 0S,5605,1
403.2311422053138,7391.298993906762,2022-03-24T18:53:00Z,1H 0M 0S,5605,1
402.68801820832385,7391.182256663987,2022-03-24T19:53:00Z,1H 0M 0S,5605,1
402.2919318364768,7391.386139737161,2022-03-24T20:53:00Z,1H 0M 0S,5605,1
401.1941538029068,7391.812941855822,2022-03-24T21:53:00Z,1H 0M 0S,5605,1
400.18210677743474,7392.913529814088,2022-03-24T22:53:00Z,1H 0M 0S,5605,1
400.2268837799054,7393.153769232769,2022-03-24T23:53:00Z,1H 0M 0S,5605,1
400.4657831264742,7393.411026877677,2022-03-25T00:53:00Z,1H 0M 0S,5605,1
400.1905703313968,7394.094749564465,2022-03-25T01:53:00Z,1H 0M 0S,5605,1
399.7561499357385,7394.602302085091,2022-03-25T02:53:00Z,1H 0M 0S,5605,1
398.8209106675946,7394.768938135241,2022-03-25T03:53:00Z,1H 0M 0S,5605,1
398.67098214698086,7394.007896848765,2022-03-25T04:53:00Z,1H 0M 0S,5605,1
398.70391960051677,7393.840761136574,2022-03-25T05:53:00Z,1H 0M 0S,5605,1
398.8742932950714,7393.713676975623,2022-03-25T06:53:00Z,1H 0M 0S,5605,1
398.90737384916747,7393.681096062738,2022-03-25T07:53:00Z,1H 0M 0S,5605,1
398.8533304168585,7393.568648194417,2022-03-25T08:53:00Z,1H 0M 0S,5605,1
398.3502186472777,7393.849296548867,2022-03-25T09:53:00Z,1H 0M 0S,5605,1
398.47781562984585,7393.7998578207735,2022-03-25T10:53:00Z,1H 0M 0S,5605,1
398.5388238896305,7393.655701094604,2022-03-25T11:53:00Z,1H 0M 0S,5605,1
398.6364166121843,7393.536280716306,2022-03-25T12:53:00Z,1H 0M 0S,5605,1
398.6793948980225,7393.241270506423,2022-03-25T13:53:00Z,1H 0M 0S,5605,1
398.8750135600994,7392.425655514357,2022-03-25T14:53:00Z,1H 0M 0S,5605,1
415.16814346144366,7358.912075940491,2022-03-17T06:53:00Z,1H 0M 0S,5605,2
415.595405607562,7358.664734156059,2022-03-17T07:53:00Z,1H 0M 0S,5605,2
415.1262661671033,7358.900130655328,2022-03-17T08:53:00Z,1H 0M 0S,5605,2
415.1262589527808,7358.900394055872,2022-03-17T09:53:00Z,1H 0M 0S,5605,2
414.47698334117166,7359.346853775283,2022-03-17T10:53:00Z,1H 0M 0S,5605,2
414.3561414909961,7359.2340538446415,2022-03-17T11:53:00Z,1H 0M 0S,5605,2
414.64972743461146,7359.1923915830475,2022-03-17T12:53:00Z,1H 0M 0S,5605,2
414.75897954350455,7359.158236854625,2022-03-17T13:53:00Z,1H 0M 0S,5605,2
416.14005997322505,7358.992284631887,2022-03-17T14:53:00Z,1H 0M 0S,5605,2
417.15154482372657,7359.384063869126,2022-03-17T15:53:00Z,1H 0M 0S,5605,2
417.28024884199453,7359.390951838551,2022-03-17T16:53:00Z,1H 0M 0S,5605,2
417.1141695123321,7359.663148148502,2022-03-17T17:53:00Z,1H 0M 0S,5605,2
416.6642904954861,7359.483385087811,2022-03-17T18:53:00Z,1H 0M 0S,5605,2
416.1564166563765,7359.405816129915,2022-03-17T19:53:00Z,1H 0M 0S,5605,2
416.0954309554,7359.368947050157,2022-03-17T20:53:00Z,1H 0M 0S,5605,2
415.0223428862934,7359.5352939242675,2022-03-17T21:53:00Z,1H 0M 0S,5605,2
415.3966967610391,7359.415144629815,2022-03-17T22:53:00Z,1H 0M 0S,5605,2
415.381737686702,7359.206023430065,2022-03-17T23:53:00Z,1H 0M 0S,5605,2
415.3797412906035,7359.172826188638,2022-03-18T00:53:00Z,1H 0M 0S,5605,2
415.7305557152916,7358.74155497356,2022-03-18T01:53:00Z,1H 0M 0S,5605,2
415.66545115682953,7357.18184295361,2022-03-18T02:53:00Z,1H 0M 0S,5605,2
415.69457148459844,7357.192932508825,2022-03-18T03:53:00Z,1H 0M 0S,5605,2
415.8687581806339,7357.230423048485,2022-03-18T04:53:00Z,1H 0M 0S,5605,2
416.263692123537,7357.738629774609,2022-03-18T05:53:00Z,1H 0M 0S,5605,2
416.2802444767542,7357.9099998403335,2022-03-18T06:53:00Z,1H 0M 0S,5605,2
416.2884406123339,7358.643089411303,2022-03-18T07:53:00Z,1H 0M 0S,5605,2
416.2069550172833,7358.76421625935,2022-03-18T08:53:00Z,1H 0M 0S,5605,2
414.8865191844251,7359.86132342057,2022-03-18T09:53:00Z,1H 0M 0S,5605,2
414.7576071448638,7359.885593400132,2022-03-18T10:53:00Z,1H 0M 0S,5605,2
414.54496594106797,7359.853750514096,2022-03-18T11:53:00Z,1H 0M 0S,5605,2
414.03092251785625,7359.814729965014,2022-03-18T12:53:00Z,1H 0M 0S,5605,2
414.0297169709353,7359.795539485955,2022-03-18T13:53:00Z,1H 0M 0S,5605,2
413.39801136587505,7359.571302597988,2022-03-18T14:53:00Z,1H 0M 0S,5605,2
413.29877614940483,7359.620938837822,2022-03-18T15:53:00Z,1H 0M 0S,5605,2
413.0618224315257,7359.699681818441,2022-03-18T16:53:00Z,1H 0M 0S,5605,2
413.1939840705054,7360.139001254687,2022-03-18T17:53:00Z,1H 0M 0S,5605,2
413.4495459604445,7360.1703015348585,2022-03-18T18:53:00Z,1H 0M 0S,5605,2
413.7869743140048,7360.29728787113,2022-03-18T19:53:00Z,1H 0M 0S,5605,2
414.1466921867932,7361.16497652225,2022-03-18T20:53:00Z,1H 0M 0S,5605,2
414.13697514333256,7361.211833452724,2022-03-18T21:53:00Z,1H 0M 0S,5605,2
414.0818772902843,7359.325620024985,2022-03-18T22:53:00Z,1H 0M 0S,5605,2
414.32859159374937,7359.2155023278465,2022-03-18T23:53:00Z,1H 0M 0S,5605,2
414.35901938227175,7359.149215632044,2022-03-19T00:53:00Z,1H 0M 0S,5605,2
413.8827016686983,7358.572499174954,2022-03-19T01:53:00Z,1H 0M 0S,5605,2
413.777370605576,7358.44818775869,2022-03-19T02:53:00Z,1H 0M 0S,5605,2
413.68800984221554,7358.016893203149,2022-03-19T03:53:00Z,1H 0M 0S,5605,2
413.46846227893167,7358.03200108303,2022-03-19T04:53:00Z,1H 0M 0S,5605,2
413.2445306003116,7358.295651296637,2022-03-19T05:53:00Z,1H 0M 0S,5605,2
413.19186580269053,7358.35656871156,2022-03-19T06:53:00Z,1H 0M 0S,5605,2
413.14668070296904,7359.073609587092,2022-03-19T07:53:00Z,1H 0M 0S,5605,2
414.13170154761946,7359.821233272438,2022-03-19T08:53:00Z,1H 0M 0S,5605,2
414.1153587155214,7360.005733378364,2022-03-19T09:53:00Z,1H 0M 0S,5605,2
414.4892521362004,7360.333217982499,2022-03-19T10:53:00Z,1H 0M 0S,5605,2
414.79365599115727,7361.415163645121,2022-03-19T11:53:00Z,1H 0M 0S,5605,2
414.3587772644096,7361.652121766077,2022-03-19T12:53:00Z,1H 0M 0S,5605,2
414.2089366117836,7362.276682694385,2022-03-19T13:53:00Z,1H 0M 0S,5605,2
414.184824174423,7362.282696482475,2022-03-19T14:53:00Z,1H 0M 0S,5605,2
413.44477844727476,7362.450083889291,2022-03-19T15:53:00Z,1H 0M 0S,5605,2
412.94242389829856,7362.2946132522875,2022-03-19T16:53:00Z,1H 0M 0S,5605,2
412.89980404125697,7362.30011009343,2022-03-19T17:53:00Z,1H 0M 0S,5605,2
413.27279589847655,7361.532874814019,2022-03-19T18:53:00Z,1H 0M 0S,5605,2
411.4776779280498,7362.729334039727,2022-03-19T19:53:00Z,1H 0M 0S,5605,2
410.9389373989812,7362.8185079953755,2022-03-19T20:53:00Z,1H 0M 0S,5605,2
410.8739137993889,7362.982276977366,2022-03-19T21:53:00Z,1H 0M 0S,5605,2
410.38901507448026,7364.116525885212,2022-03-19T22:53:00Z,1H 0M 0S,5605,2
410.91696534626817,7365.277173810578,2022-03-19T23:53:00Z,1H 0M 0S,5605,2
410.71215309151773,7365.70105876158,2022-03-20T00:53:00Z,1H 0M 0S,5605,2
410.13826505550225,7366.157453542367,2022-03-20T01:53:00Z,1H 0M 0S,5605,2
409.8419816480807,7366.223913066974,2022-03-20T02:53:00Z,1H 0M 0S,5605,2
409.1191778833186,7366.549400989834,2022-03-20T03:53:00Z,1H 0M 0S,5605,2
408.78135777405123,7366.355784068494,2022-03-20T04:53:00Z,1H 0M 0S,5605,2
408.74637261436044,7366.316997493572,2022-03-20T05:53:00Z,1H 0M 0S,5605,2
408.61544017641796,7366.141941223803,2022-03-20T06:53:00Z,1H 0M 0S,5605,2
408.69414817292943,7365.846702995529,2022-03-20T07:53:00Z,1H 0M 0S,5605,2
408.667218984545,7365.743980574847,2022-03-20T08:53:00Z,1H 0M 0S,5605,2
408.56842278910085,7365.686924443091,2022-03-20T09:53:00Z,1H 0M 0S,5605,2
408.9508270988792,7366.419716509445,2022-03-20T10:53:00Z,1H 0M 0S,5605,2
408.813119232281,7366.199305164851,2022-03-20T11:53:00Z,1H 0M 0S,5605,2
408.7004012130031,7366.006876934032,2022-03-20T12:53:00Z,1H 0M 0S,5605,2
408.6226450492716,7366.024014633064,2022-03-20T13:53:00Z,1H 0M 0S,5605,2
408.45931311510344,7366.364977301547,2022-03-20T14:53:00Z,1H 0M 0S,5605,2
408.3398614441386,7367.737168817305,2022-03-20T15:53:00Z,1H 0M 0S,5605,2
408.2597158767422,7368.655052335298,2022-03-20T16:53:00Z,1H 0M 0S,5605,2
408.4370610485198,7368.864841184682,2022-03-20T17:53:00Z,1H 0M 0S,5605,2
408.75127206874964,7370.167428166829,2022-03-20T18:53:00Z,1H 0M 0S,5605,2
409.5148646151353,7370.129925915968,2022-03-20T19:53:00Z,1H 0M 0S,5605,2
410.9352890170187,7370.055040382855,2022-03-20T20:53:00Z,1H 0M 0S,5605,2
412.1503767389033,7370.427227611093,2022-03-20T21:53:00Z,1H 0M 0S,5605,2
412.15566484962926,7371.144923522019,2022-03-20T22:53:00Z,1H 0M 0S,5605,2
412.1572357550345,7371.184444602609,2022-03-20T23:53:00Z,1H 0M 0S,5605,2
412.17480680716716,7371.887182387744,2022-03-21T00:53:00Z,1H 0M 0S,5605,2
412.3707153833994,7372.01000554768,2022-03-21T01:53:00Z,1H 0M 0S,5605,2
412.34163404102503,7372.025686381882,2022-03-21T02:53:00Z,1H 0M 0S,5605,2
411.2828611849518,7371.597762951314,2022-03-21T03:53:00Z,1H 0M 0S,5605,2
411.2732453395,7371.803013105047,2022-03-21T04:53:00Z,1H 0M 0S,5605,2
411.72805185636327,7372.100401790921,2022-03-21T05:53:00Z,1H 0M 0S,5605,2
411.67546960629676,7372.41103461928,2022-03-21T06:53:00Z,1H 0M 0S,5605,2
411.67745611864973,7372.385025003983,2022-03-21T07:53:00Z,1H 0M 0S,5605,2
411.5436933555071,7372.3293099099965,2022-03-21T08:53:00Z,1H 0M 0S,5605,2
409.9070919397276,7371.96850639424,2022-03-21T09:53:00Z,1H 0M 0S,5605,2
409.83780983298266,7372.000560341117,2022-03-21T10:53:00Z,1H 0M 0S,5605,2
